Model,R2,RMSE,MAE,AUC,Balanced_Acc,F1
Naive,-0.804601,0.029063,0.020617,0.493519,0.493519,0.461248
LR,-0.009688,0.021739,0.014862,0.526918,0.525483,0.507353
ARIMA,0.151978,0.019923,0.014160,0.488976,0.492676,0.578723
LSTM,-0.026497,0.021920,0.014746,0.496458,0.500000,0.636912
GRU,-0.030224,0.021959,0.014780,0.501661,0.500000,0.636912
RF,-0.024119,0.021894,0.015139,0.496627,0.500031,0.631450
Transformer_Regression,-0.022918,0.021881,0.014830,-,-,-
Transformer_Classification,-,-,-,0.461970,0.496942,0.630807
Ensemble_Regression,0.158531,0.019846,0.014084,-,-,-
Ensemble_Classification,-,-,-,0.509275,0.500000,0.636912
